作者,看板,標題,日期,內容
xianyu2756 (咸咸),fruits,[廣宣] 東勢新興梨,Tue Jul 12 19:51:53 2022,"謝謝大家去年對我們家水梨的支持，這次新興梨又回來了！
新興梨口感較脆，水嫩多汁，每次吃都會流很多梨汁
甜度達12度！！
喜歡脆又甜的朋友不要錯過啦！

【產地來源】台中東勢
【產品名稱】新興梨
【產品售價】每箱依梨子大小分為10粒、12粒、16粒/雙層
 5粒、6粒、8粒/單層
詳細價格及規格請看圖片
【運費計算】黑貓宅急便 免運費！！
【交易方式】匯款後出貨/貨到付款
【付款方式】匯款/貨到付款/台灣Pay/LINE PAY Money

*目前只剩六、大六、特六

意者請站內信以下內容：
姓名：
電話：
收件地址：
規格及數量：
付款方式：

https://i.imgur.com/ZKFrMKy.jpg
https://i.imgur.com/AsOF381.jpg
https://i.imgur.com/6QrEpX9.jpg

"
mlev (大地彩妝果園),fruits,[廣宣] 酪梨,Tue Jul 12 23:56:18 2022,"a15斤含運1000元
a10斤含運710元
b15斤含運850元
b10斤含運610元
就這樣啦
意者請至https://www.facebook.com/dadifarm下單
這裡比較會忘記

"
hsiaoyuan510 (鱈浮),fruits,[廣宣] 新包裝 五斤裝/酪梨 限超取,Wed Jul 13 13:23:07 2022,"
台南大內，產地直送，當天現採

@小資族、家庭的首選
@台南大內；當日採收產地直送
@草生栽培、安心食用
@果汁店首選品種：紅心圓
https://i.imgur.com/oGP5nMV.jpg
5斤裝/350$（5-7顆裝）含運

https://i.imgur.com/r93uSu8.jpg

@賣貨便需連結網址下單，可取貨付款
@加入官方好友或站內信

https://lin.ee/Bu1bSlw7


@特選套袋酪梨，保護每顆酪梨完整
@每週末固定採收；禮拜天統一產地直送
https://i.imgur.com/vTRdbuE.jpg

品質保證、肉質絲滑綿密、無草腥味
鮭魚、沾醬、沙拉、酪梨牛奶都可以
價值一級棒、老人小孩孕婦都能吃






"
hsiaoyuan510 (鱈浮),fruits,[廣宣] 荍文旦開放預購 早鳥優惠每箱折50,Fri Jul 15 11:36:56 2022,"2022年萩荍文旦開放預購-
https://i.imgur.com/IKepzmU.jpg

「十斤裝文旦禮」

@即日起～至8/5訂購，文旦原價每箱折50$
預計國曆8/26開始出貨（視文旦熟成狀況往前或延後）
https://i.imgur.com/N2MWI3Q.jpg

https://i.imgur.com/sdKRec3.jpg

@訂購方式
站內信
加入萩荍Line官方帳號訂購
https://lin.ee/Bu1bSlw7

@公司餽贈員工、大量預定，另有團購優惠，歡迎私訊官方帳號

https://i.imgur.com/MIASIQu.jpg


@@紅柚預計七月底開放預購@@


https://i.imgur.com/tSTPYSa.jpg

"
b710094 (自宅作業員),fruits,[廣宣] 彰化社頭珍珠芭樂,Wed Jul 20 12:10:50 2022,"https://i.imgur.com/XbAbfbq.jpg

產地：彰化社頭
品名：珍珠芭樂

價錢：1箱12斤 420元
(12斤約22~26顆)
重量：約270~350公克/顆，隨機出貨
運費：130元(黑貓常溫配送)
交易方式：蝦皮或田中、社頭自取
聯絡方式：站內信

蝦皮賣場
https://shopee.tw/product/4701671/14590050144
（（購買後4週內會出貨））

注意事項
1·照片僅供參考，天然水果無法每顆都長得一模一樣。
2·水果為天然生長,表皮可能會傷痕結痂，屬正常現象，削皮即可安心食用!
3·由於是生鮮水果食品，收到貨時應立即打開檢查是否有嚴重受損，運送過程中難免會有小受損，均屬正常現象，在意者下單請三思!
"
besonnova (吃吃喝喝),fruits,Re: [廣宣] 豪庭斗六文旦開賣,Thu Jul 21 19:09:43 2022,"


斗六文旦預訂開跑！

在地小農自產自銷文旦

https://i.imgur.com/xVaPMHP.jpg

https://i.imgur.com/NJzE480.jpg

https://i.imgur.com/QbR6nzm.jpg

斗六文旦  ，零售每台斤40元

禮盒裝：  350元/箱 （10台斤）

3箱1000元

預計8月底採收，

預計9月初取貨地取貨，

目前僅提供斗六取貨地面交自取，

取貨地址：斗六市鎮北路197號

電話:0912 656 451

田裡的白柚、檸檬也結果了，

https://i.imgur.com/xsWx34T.jpg

https://i.imgur.com/vPolWXg.jpg

也歡迎預訂


"
freeride (又一個晴朗的週末),fruits,[廣宣] 苗栗 新興梨,Thu Jul 21 20:55:30 2022,"卓蘭 新興梨/甘露梨

親戚在卓蘭種梨，不會行銷 ，幫忙廣告一下！
尺寸價格如下：

新興梨：
15A(一箱兩層共20粒) =1,300元
16A(一箱兩層共16粒) =1,350元
20A(一箱兩層共14粒) =1,700元

甘露梨(12顆）:
22A1500
23A1650(17斤)
24A1800(18斤）
25A1850(19斤)


以上均含運(不含花東離島)

購買方式：站內信

匯款後宅配出貨


"
ahha3358 (啊哈),fruits,[廣宣] 屏東枋山小農金煌芒果,Sun May 15 00:18:49 2022,"屏東枋山小農最後一批金煌芒果!!
今年枋山遇到蟲災，芒果外表不好看，但因今年沒什麼降雨，金煌芒果比往年更清
甜香Q，去年在這裡得到許多鄉民的支持，所以今年以更優惠的價格回饋大家。

每箱內含6-8粒金煌芒果加箱子重約10台斤
一箱含運價390元 (1台斤約29元，扣除運費100元)
二箱含運價750元 (價格更優惠，限同一地址)

只限20箱哦　5/17星期二中午12點結單

https://imgur.com/v60ZRXz
https://imgur.com/2Qvmq8k
https://imgur.com/Wrpyx58

若有想要訂講的朋友請站內信，並提供下列資訊：
收件人：
地扯：
電話：
訂購內容：一箱含運價390元 OR 二箱含運價750元

前20箱我會回覆匯款資訊，核對完畢統一在5/18星期三寄出，隔天就會到貨了。
因為蟲災的關係表皮不好看，但果肉是好的，不能接受外觀的請勿下單哦，謝謝大家。

"
X566 (X566),fruits,[閒聊] 貴貴的福貝芒果,Thu May 19 12:55:10 2022,"從臉書社團看到曾得獎的福貝的愛文芒果，買了一箱一千左右
芒果有黑點了
老闆娘一直說要再放 冰起來 還不能吃
結果冷藏後拿來吃 裡面兩顆有蟲...
而且有的吃起來酸酸的...
反應了以後老闆娘沒說什麼
以這個精品價位這個售後服務真是

https://i.imgur.com/Y39H7Ir.jpg



"
predator1181 (onlypredator),fruits,[廣宣] 鳳梨/鳳梨乾,Sat May 21 11:02:51 2022,"自家重山上區的台農16號甜蜜蜜鳳梨，不割嘴的綿密鳳梨。
當天現採 隔天就送到您手上，最新鮮的品質
整顆鳳梨果肉烘培20小時，純天然水果軟糖，不加糖不加色素，香Q不黏牙。
大人小孩都愛吃 小小孩也可以吃喔

鳳梨一箱6-7隻20斤重600元（含運750）
鳳梨乾一包200元200克 小七店到店運費60

有任何問題歡迎私訊詢問！
https://i.imgur.com/4z4KVE2.jpg
https://i.imgur.com/i8wZ7rz.jpg
https://i.imgur.com/p0TPX9W.jpg
https://i.imgur.com/e8aL0MH.jpg

"
hifunny (等貨的心情無比煩躁!!),fruits, [廣宣] 2022高雄大樹吳家ㄚ茂玉荷包,Sat May 21 11:12:54 2022,"
5/23(一)開始出貨!

因人力有限，每天量固定，售完為止

心動就趕快訂購!!早買早享受！

今年在y拍和pc個人賣場販售

https://tw.bid.yahoo.com/item/101280267176
https://mseller.pcstore.com.tw/index.htm#mseller@@https://mseller.pcstore.com.
tw/prods.php?s=S146016391&c=C1441346623


高雄大樹在地玉荷包 今年又來啦!!
自產自銷，幫家裡大人賣
照片最後三張為往年評價，深受大家喜愛

當天採摘，當天寄送，隔天到貨(不含偏遠地區)
因人手有限，故無法指定到貨時間
出貨前一日會以訊息告知

有問題可私訊，會盡快回覆，感謝您的訂購^^

"
happinessfh7 (life),fruits,[廣宣]大村巨峰葡萄~採用有機肥~產地直銷(限量,Tue May 24 19:00:44 2022,"產品名稱：大村巨峰葡萄~採用有機肥~產地直銷(限時限量)，非溪湖喔
可以加line:@nbm2738w
或搜尋蝦皮
https://bit.ly/3sPDDBC

商品圖片：



http://i.imgur.com/KpOv6FY.jpg

http://i.imgur.com/rf50v8G.jpg





今年5/10我爸拍實際照片
https://i.imgur.com/fCbDF7f.jpg
https://i.imgur.com/XrvbhF1.jpg
https://i.imgur.com/v4yujgu.jpg

自購時間：家父自種

預售價格：340/箱(葡萄大概是4斤含箱子約4.5斤)

大量團購另有優惠


交易方式： 郵寄

建議地區：全省皆可


運費:1-4箱運費170元
所以超過請先加line詢問
1-4箱運費170元
5-8箱運費340元
每4箱一件為單位
line@好友：@nbm2738w
明年會通知您

以此類推

原本我們宅配需要180的運費
目前優惠給客戶就直接算170就好
四箱以上的新舊客戶我們直接優惠使用低溫宅配
為了確保郵寄品質
去年開始只收一般宅配的運費但是用""""冷藏宅配""""
多餘的錢由我爸自行吸收（四箱以上）


四箱以上的以冷藏宅配為優先
3箱以下的，為確保品質，只好以常溫為主
（部份偏僻地區無法冷藏車運送，還請見諒）
常溫快遞若隔天配達
只要不要太多天和磕碰
葡萄品質也不會太大的影響
商品數量：500

交易方式：面交 / 宅配

建議地區：全省皆可
其他說明：


採收前一個月已經沒有使用任何農藥
平時我爸都是用雞糞的有機肥料
壞掉的雞蛋、酵素
成本蠻高的
為確保農地的生產品質
我們“一年一收”
甜度很甜


※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 112.78.78.93 (臺灣)
※ 編輯: happinessfh7 (112.78.78.93 臺灣), 05/24/2022 22:57:05


"
shark1997329 (chjh),fruits,[廣宣] 自產自銷黑葉荔枝粒裝禮盒,Wed May 25 13:30:01 2022,"板上的各位大大好！
上次聖女小番茄承蒙大家照顧了！
黑葉荔枝熱烈預購中！

榛澄鮮果園的【黑葉荔枝】成熟中！
有預購的朋友久等了！！
預計6/6就可以開始陸續出貨啦！
香甜荔枝產季可是不等人的唷~
開採以後，產季大約只有10天，
今年因為氣候，產量又比往年稀少，
如果你錯過了這次機會，
那可就要再等一年了啦！！
沒預購的朋友　趕快手刀訂起來 <3

黑葉荔枝是臺灣最傳統的荔枝品種！！
有著傳統荔枝濃郁的香氣，
和令人驚豔的甘甜美味，
口感Q彈、多汁肉厚、籽小，
是其他品種的荔枝望塵莫及的好滋味！
外觀看來像一個個的小愛心  <3
是視覺和味覺的一大盛宴(≧▽≦)
https://i.imgur.com/nn7wNdJ.jpg
【品名】黑葉荔枝
【產地】嘉義縣民雄鄉
【規格】3公斤(1箱/粒裝剪枝)  預購嘗鮮579元
【付款方式】轉帳/匯款(郵局)
【運送方式】常溫免運 {郵局/順豐(視情況調整配送廠商)}
　　　　　　黑貓冷藏 {低溫配送需另加145元物流費}
【訂購方式】FB留言/私訊/站內信
                        LINE官方帳號 @179kpdlk
【出貨時間】預計6/6左右採收

也可以來我們的粉專看看唷！
https://www.facebook.com/104044062182996/posts/150419477545454/


以下照片是5/31拍的，快要可以採收啦！
https://i.imgur.com/Fvawp78.jpg
https://i.imgur.com/ZAGzPwo.jpg
https://i.imgur.com/HwFsFf7.jpg

以下照片是5/25拍的，美味還需等待幾天
https://i.imgur.com/XIIeeFw.jpg
https://i.imgur.com/BWl4wbb.jpg
https://i.imgur.com/xR4sacT.jpg
https://i.imgur.com/1Zg72Ox.jpg
https://i.imgur.com/0FxXvw1.jpg
https://i.imgur.com/3GlC9BZ.jpg

(所用之圖片版權，歸榛澄鮮果園所有，請勿盜圖，盜圖必究)


"
elly84055414 (elly),fruits,[廣宣] 玉井土芒果,Thu May 26 18:17:31 2022,"2022玉井土芒果宅配，開始囉！！

今年的產量受氣候影響，全台水果產量都減少，我們依舊提供產地直送的土芒果給大家買
！
要讓喜歡玉井土芒果的朋友，可以用香香甜甜的土芒果迎接夏天。

今年芒果裝箱實拍照
第一層：
https://i.imgur.com/a2pMolB.jpg
第二層：
https://i.imgur.com/klizAYn.jpg

購物須知
https://i.imgur.com/9986cpw.jpg

可利用Google表單或站內信聯絡我購買
表單連結：

https://docs.google.com/forms/d/1DBUolfSs0nKkHoWppbmPjVXMtNOYPikqjy5Vk1WOukU/v
iewform?ts=628f2b3a&edit_requested=true

謝謝大家

"
x2020 (小張不是阿呆呆),fruits,[廣宣] 2022枋山吳家芒果園區,Fri May 27 21:00:47 2022,"2022枋山吳家芒果開賣了

目前排單到端午後囉～

先說最近疫情嚴重

軍警醫護只要有購買

10斤裝一律折80元/箱

5斤裝一律折50元/盒

但還是要麻煩大家提供工作證或證書喔！


如果您是軍警醫護，請直接站內給我訂購。


最近連日下雨

又發生一些意外導致比較晚發文

以下正文～

7年老店，數十年種植經驗

無法給您最早，但想給您最好

吳家或許會遲到，但永遠不會缺席
今年芒果真的產量稀少，但我們一樣秉持著給大家好的品質，所以我們晚了QAQ
但我們今年一樣是佛系出貨欸！！


今年我們已經可以開發票了

今年我們已經可以開發票了

今年我們已經可以開發票了


不是因為我們賺的多，是希望公司可以報稅

另外如果您是老客戶

跟我說一下我送您一包芒果乾
（不得折抵現金）（提供之前站內截圖）
有在粉專私訊買過的截圖也可以。

如果您購買3年以上的

跟我說，有另外小折扣～


以下是今年的價格

箱裝

12顆一箱1099爽度爆表
15顆一箱999  送禮剛好
18顆一箱899  小編最愛

NG芒果20斤裝滿一大箱700含運～

以上都是一箱約10斤裝
（正負誤差約1台斤喔）
免運、免運、免運

另外
吳家2022全新登場

禮盒

6顆一盒650元
8顆一盒550元

由於禮盒成本較高
所以單一盒運費100元
2盒免運！！！

今年訂購的方法有～

今年也開啟蝦皮訂購！！！
也不定時的有活動喔！！！
希望大家可以多多使用～
訂購網址：

https://myppt.cc/Qma5wM
https://myppt.cc/Qma5wM
https://myppt.cc/Qma5wM

也可以直接站內給我們訂購喔！！！

有任何問題歡迎直接私訊我們

如有訂購10箱，依照往年一樣擁有優惠

以上，感謝大家的耐心等待

之前預購的會優先出貨～～

#枋山吳家芒果園區
#芒果樹旁編
#2022年度
#自然熟成
#佛系出貨
#學長幫編
#阿肥肥編
#拜託使用蝦皮下單QAQ

https://i.imgur.com/ueeQlKp.jpg

https://i.imgur.com/C7rm3lq.jpg

https://i.imgur.com/z3cIeL4.jpg

https://i.imgur.com/qHR5Omj.jpg

https://i.imgur.com/vkaxaUH.jpg

https://i.imgur.com/kcOrapl.jpg

https://i.imgur.com/cwbXDl8.jpg

"
laigary (lai323),fruits,[廣宣] 大村阿嬤葡萄園 套袋巨峰葡萄,Tue May 31 08:46:18 2022,"今年剛剛通過農糧署的農藥檢測，認證是無毒葡萄，想要安心吃到健康又好吃的葡萄嗎？
那你絕對不能錯過阿嬤葡萄園喔～

［葡萄園介紹］
我們是位在大村葡萄隧道的阿嬤葡萄園，傳承三代人的情感，是一家人溫馨的回憶。自產
自銷的小農，注重用藥安全，堅持等待葡萄自然熟成，讓大家吃到「尚著時」的新鮮葡萄
。

園主阿嬤已經準備的差不多嘍～就等待葡萄成熟時！葡萄都是園主阿嬤當天凌晨到葡萄園
現剪現採收之後立即包裝的唷！保證新鮮又可口！

［臉書粉絲專頁］
https://www.facebook.com/AMaVineyard/
大家也可以臉書搜尋：阿嬤葡萄園A-Ma’s Vineyard
看看我家葡萄的日常生活照片喔！


［葡萄照片］
上禮拜日拍的，採收時會更黑更大喔！
https://i.imgur.com/3ObizPQ.jpg
https://i.imgur.com/TCfwhrU.jpg
https://i.imgur.com/ySJQLFP.jpg
https://i.imgur.com/Ry4YM52.jpg
https://i.imgur.com/dbDzQKn.jpg

今年改為禮盒包裝，跟傳統公版的不同，特別設計過的外裝，讓你送禮也拿得出手喔！
https://i.imgur.com/zM07UDB.jpg
https://i.imgur.com/8Oucmgh.jpg


［訂購資訊］
大村套袋巨峰葡萄6/10開始採收
每箱含箱重4台斤：380元
黑貓常溫配送：運費160元，四的倍數箱免運費。

舉例：
如果是常溫配送訂購1-3箱，運費$160、常溫配送訂購4箱的話，一樣免運費喔。


［聯絡方式］
可以使用PTT站內信，或是直接到臉書專頁私訊我們喔！
如果有任何問題也歡迎詢問～

［顧客回饋］
https://i.imgur.com/nHJh6Ek.jpg
https://i.imgur.com/LsCFavF.jpg
https://i.imgur.com/wKADVGR.jpg
https://i.imgur.com/AVdxzOF.jpg
https://i.imgur.com/R0piLlT.jpg

#大村套袋巨峰葡萄 #小農自產自銷 #農糧署認證無毒葡萄 #吃得安心健康

"
hsiaoyuan510 (鱈浮),fruits,[廣宣] 草生栽培，夏雪芒果禮盒,Wed Jun  1 21:21:54 2022,"        夏天送禮，夏雪芒果禮盒十斤裝（售完）


AB級禮盒已經售完。
如果是自己要吃不介意外外觀的話
有惜福果（醜皮）食用正常的～～～

一箱十斤裝900$含運


【產地來源】台南六甲
【產品名稱】夏雪芒果禮盒十斤裝
【產品售價】A級1500$/  B級1200$
【重量規格】十斤/箱
【運費計算】售價含運費

【交易方式】全省宅配到府
【付款方式】匯款或轉帳
【賣家名稱】萩荍農場
【聯絡電話】0911 030 705（同LIne)


https://i.imgur.com/LRiciiS.jpg

https://i.imgur.com/59cbRjW.jpg


【商品介紹】

夏雪皆當天採收，隔天新鮮到貨

夏雪芒果界的LV
「匯聚三種芒果的優點」

https://i.imgur.com/zOanDtP.jpg

- 土芒果的馥郁香氣
- 愛文芒果的Q彈口感
- 金煌芒果的亮麗外表和高甜度

https://i.imgur.com/d2FeW1q.jpg



            關於萩荍
果園全區草生栽培、善待土地、自製酵素栽培管理，建立友善自然生態。

#產地親送
#在地小農
#園區草生栽培



※商品若於送達時即有損壞或因運送碰撞造成瑕疵，請勿將商品丟棄，維持商品原狀、拍
照留存，並立即於24小時內聯絡客服人員，將盡速協助您申請換貨或商品退貨之事宜。

歡迎站內信訂購，價格皆含運費。

"
kv553835 (Dnr),fruits,[廣宣] 枋山愛文芒果和無糖芒果乾,Tue Jun  7 23:03:11 2022,"大家好

原本PO在屏東版 在客人的建議下才知道有水果版

枋山鄉直產的愛文芒果

有分NG自己吃跟非ＮＧ送禮還有5斤禮盒跟芒果乾
中午以前的話通常當天可以出
晚一點就是隔天出貨

NG 10斤11-15顆
1箱７００
2箱１３００

https://i.imgur.com/oJW8YuE.png

非NG的
10斤11~12 1300
10斤 14~15 1150
10斤 18 950
10斤 20 850
10斤 24 750

https://i.imgur.com/S8dcPuW.png
https://i.imgur.com/w9b4Hhd.png

5斤禮盒 ６ 750
5斤禮盒 8~9 650
5斤禮盒 10~12 550

https://i.imgur.com/YBC8UaY.png
https://i.imgur.com/CFHG6d7.png
https://i.imgur.com/Gw2UJnC.png

150g無糖芒果乾 165
買芒果+購 155

https://i.imgur.com/mFr33NF.png


若有想要訂講的朋友請站內信，並提供下列資訊：
收件人：
地扯：
電話：
訂購的品項：

也可以從網址進行訂購：

https://myppt.cc/Vrshep

"
threeeightf (九萬),fruits,[廣宣] 道地的玉井芒果,Thu Jun  9 10:24:13 2022,"小妹在此謝謝大家的支持~
平日我另有正職工作
是利用下班時間幫阿公賣芒果
所以要通知出貨都會比較晚了
才希望可以加line才不會被吵醒
再次感謝大家捧場！

玉井在地自產「我醜醜一樣很好吃」格外品芒果

西施芒果、貴妃芒果
金煌芒果、秋香芒果
每一箱絕對有10斤重，500元(含運)送到家。同品項的芒果若一次訂購兩箱同地址含運價
只要900
元唷！(以此類推)


農場堅持用藥安全，芒果套袋後就不再噴藥，下雨後雨水留進
袋中就會讓芒果外表留下水痕，這些芒果只是皮較醜，裡面的果肉沒有壞

果肉沒有壞
果肉沒有壞
果肉絕對沒有壞
甜度一樣很甜而且很大顆
適合自己吃，家人一起吃

貴妃芒果+玉文芒果(保麗龍3顆)
https://i.imgur.com/p7HL7ED.jpg

貴妃芒果箱
https://i.imgur.com/XH4dJnR.jpg

欲訂購者，請私訊留下收件人姓名、電話及地址。或者填寫訂購表單：
https://pse.is/49ev9k




今天出貨，明天收芒果，用最快速度送到你手中。

"
shark1997329 (chjh),fruits,[廣宣] 自產自銷黑葉荔枝（完售）,Thu Jun  9 11:46:36 2022,"版上的大大們好~
感謝大家支持榛澄！

黑葉荔枝【完售】！
謝謝大家熱烈支持，
黑葉荔枝訂單已經排滿了，
後續不會再接新單，
已經訂購的朋友們，
我們會按照訂單順序陸續出貨！
黑葉荔枝跟大家明年見啦～～

白雪甜糯玉米訂單已經接滿了，
後續不再接單，謝謝大家！
https://i.imgur.com/kSktjlE.jpg


也可以關注我們的粉專看最新資訊！
https://www.facebook.com/jenchengfruit

【品名】黑葉荔枝
【產地】嘉義縣民雄鄉

【規格】
『黑葉荔枝』3公斤(1箱/粒裝剪枝) 　　吃甜甜價579元

【付款方式】轉帳/匯款(郵局)
【運送方式】常溫免運 {郵局/順豐(視情況調整配送廠商)}
　　　　　　黑貓冷藏 {低溫配送另加物流費}
【訂購方式】FB留言/私訊/站內信
LINE官方帳號 @179kpdlk
【出貨時間】今日訂購，明日即可出貨
相關說明
☆基本上今日訂購，明日即可出貨，為保持水果新鮮，週末假日不出貨，若有其他狀況會
再以訊息通知；出貨後會傳訊息通知，並提供貨運查詢單號。
https://i.imgur.com/BojFjgc.jpg
https://i.imgur.com/BbC6rv4.jpg
https://i.imgur.com/T9nJT7O.jpg
https://i.imgur.com/V4z6YQB.jpg
https://i.imgur.com/NWO6RdV.jpg
https://i.imgur.com/7S2Mw9K.jpg
https://i.imgur.com/jOFOuvK.jpg

(所用之圖片版權，歸榛澄鮮果園所有，請勿盜圖，盜圖必究)

"
skytempter (培根),fruits,[廣宣] 台東夏雪芒果~,Thu Jun  9 14:12:55 2022,"
6/14

目前有現貨的實惠級

外銷級的預定尚未出完所以暫時還不能收單

實惠級 中等大小 外皮有些磨損

但都不會影響食用喔

如果不介意可以訂購

實惠級 5公斤：15粒左右（350公克/粒）
售價:1300 元

實惠級 2.5公斤：7-8粒左右
售價:700元

以上含一般常溫運費 如要+錢至冷藏可在私信或粉絲團跟我們說喔!

以下是實惠級芒果照片~

https://i.imgur.com/QvUzDBP.jpg


6/13更新 因為今年天氣影響產量 目前有預購的會先出貨

暫停收貨~ 如果有會在寄信給大家 可以先寄信到我信箱我再通知喔^^







大家好 旭橘果園是來自台東豐原區的自家小果園

關於果園有販售 夏雪芒果以及紅肉火龍果

目前是夏雪芒果產期~


夏雪芒果是由高雄農業改良場經歷14年以本土品種改良而成，

是全台第一顆具有身分證的芒果！

外表有金煌芒果的金黃果色、濃郁的土芒果香氣，還有愛文芒果的甜香口感


我們都是遵守芒果「在欉紅」的特性 不使用催熟劑~

有問題可以站內信或FB私訊我


fb:https://www.facebook.com/TtXUJU

價格:

A果外銷級5公斤：10-12粒左右（每粒最少450g)售價:1400

A果外銷級2.5公斤：5-6粒
售價:800元

B果實惠級 5公斤：15粒左右（350公克/粒）
售價:1300 元

B果實惠級 2.5公斤：7-8粒左右
售價:700元

C果（350g以下）
5公斤售價：800

 以上都含常溫貨運運費 ^^


"
ahha3358 (啊哈),fruits,[廣宣] 枋山愛文芒果來了～～快閃格價~時間限定,Sat Jun 11 16:52:35 2022,"截單時間：2022年6月14日 下午3點

介紹：
我們是當地的小果農，所有園內的工作都是自己來，像照顧小孩一樣用心，不假他人之手
，所以能顧好優質的芒果，因為小孩跟孫子都很愛吃芒果，徐媽媽堅持芒果的自然生長、
不下增甜劑、風色劑（讓芒果漂亮），不因為早點採收價格好就違反自然規律，所以徐媽
媽芒果口感是甜中帶酸，很Q彈不會爛爛的、味道香濃有古早時代的芒果味道。枋山鄉是
依山傍海的鄉村，有海風帶海水、大太陽、及落山風的洗禮，造就了好吃的芒果。吃芒果
到枋山就對了。當地小農，有濃濃的人情味～～～

※今年結果率低價格高，也因下雨及天氣因素芒果產量銳減一半及壞掉一半，外表也沒有去年漂亮，甜度也沒去年高，有小黑點為正常，不介意者在下訂。

我家芒果沒有經過外銷挑選過，一手芒果。
https://imgur.com/8wtE4rU

芒果都是當天採收，當天寄出，要放常溫2-3天才會全熟，也才能進冰箱。芒果屬於後熟
水果。進冰箱後可放3-7天。


12顆裝（10斤重）～1100元/箱
https://imgur.com/9uQeqsL

15顆裝（10斤重）～1000元/箱
https://imgur.com/knJ0B7O

18顆裝（10斤重）～900元/箱
https://imgur.com/6Cv4rQP

20顆裝（10斤重）～800元/箱
https://imgur.com/wSdEuqK


運費採用郵局宅配寄送，全部免運費喔!
另外考慮到小家庭買一大箱會吃不完，推出了小箱包裝

6 顆裝（5斤重）～550元/小箱

7 顆裝（5斤重）～500元/小箱

9 顆裝（5斤重）～450元/小箱
https://imgur.com/T77Hi7Z

小箱1箱運費100元；2箱以上免運費（需同一地址）。


提醒大家我們的芒果都是樹上熟成採收（在叢黃），所以無法大量採收，需要視當天採收
量排單出貨喔～～心急的人請勿下訂。下單到收到芒果大約需要1-4天。


若有想要訂講的朋友請您匯款訂單金額至郵局(代號700) 帳號 0071397-0328196，匯款完
成後站內信給我，並提供下列資訊：
收件人：
地扯：
電話：
訂購內容：15顆裝一箱1000元 OR  7顆裝一箱500元
匯款人姓名或帳號末五碼：
匯款金額：


温馨提醒：
當日採收7-9分熟，經宅配隔天送達，宅配車密閉空間加上夏日高溫，芒果在高溫下會慢
熟可當天食用。過熟的芒果會發酵有酒味，外皮會出現黑斑，請勿放置過熟。


保存方式：
1.8-9分熟芒果請一定要拆箱放陰涼處放1-2天。
2.十分熟芒果，報紙包起來，存放冰箱最下層可存放5-7天。
3.熟成芒果削皮存肉，放置保鮮盒冷凍可存放60天。


食用方式：
1.冰過的芒果更好吃。
2.一般芒果冰沙：芒果加冰塊加牛奶適量煉乳適量。
3.加厚芒果冰沙：芒果冷凍加牛奶（奶粉）及煉乳。
4.芒果乾：九分熟芒果削皮, 橫削下左右兩片果肉, 將烤箱設定攝氏70～90度，上下火全
開，烘烤約三小時。可視個人喜愛的口感，延長或縮短烘烤時間。
5.芒果醬：芒果削皮切丁，加入糖及檸檬汁拌勻冰入冰箱，隔天小火 熬煮成濃稠。

注意事項：過敏體質或皮膚不好者，請增酌食用。

"
hao111 (Hao!),fruits,[廣宣] 彰化溪湖溫室套袋葡萄,Tue Jun 14 12:55:58 2022,"幫辛苦的舅舅宣傳

溫室巨峰葡萄採幼果套袋，甜度皆18度以上，葡萄大顆香甜飽滿並有硬度，炎熱夏天來一
串冰涼葡萄好爽啊～～～


重量：2.4Kg/盒 （含盒種）
價格：$500/盒
運費：4的倍數盒免運
聯絡方式：可站內我或是直接撥打0980-823889

https://i.imgur.com/SwEQudn.jpg
https://i.imgur.com/kfrTfZI.jpg
https://i.imgur.com/7xQotR5.jpg
https://i.imgur.com/qkLtTrO.jpg
https://i.imgur.com/hg9ASRW.jpg
https://i.imgur.com/1ZOCzOL.jpg

"
kingjie001 (SJ),fruits,[廣宣] 大村葡萄產地直送,Sat Jun 18 10:04:43 2022,"【品項】彰化大村巨峰葡萄

【簡介】爸爸媽媽辛苦栽種的葡萄，甜度高、好吃。因為不會行銷以前只賣給熟識的朋友
，我出社會之後才知道行銷的重要性！目前甜度均18度以上呦！！

【鄉民優惠價格】4.5台斤為一箱（含箱重），套袋葡萄一箱350元，頂級葡萄一箱400元
。

 註：套袋葡萄因為結果之後有套上防蟲袋，故可以有效減少蟲害及灰塵，另外再加碼只
要單次買15箱葡萄就送1箱

【運費】 一箱150，四箱免運費， 有提供貨到付款， 免運費以四的倍數為單位。例：四
箱=免運費； 六箱則需酌收150元運費。 【寄送時間】匯款後，隔天一早採收寄出（早上
採的葡萄最甜）

 【購買方式】
1.滿四箱可直寄您提供的地址。
 2.開放田園採果，套袋葡萄一箱400元，須於3天前預約
3.匯款帳號為：

https://i.imgur.com/61O8MEG.jpg



4.想知道更多資訊，請參觀 臉書 https://reurl.cc/xGgrnz

，也可以站內信我、或者寄 email：[email protected]

可直接加line帳號n1250428game 也可電洽047867702 手機0987683221
確定購買後 請回站內信回一下資訊 "
